model_id,epoch,loss
1,1,3.0638
1,2,0.0938
1,3,0.0672
1,4,0.0485
1,5,0.0409
1,6,0.0362
1,7,0.0354
1,8,0.0348
1,9,0.0337
1,10,0.0324
1,11,0.0313
1,12,0.0298
1,13,0.0292
1,14,0.0277
1,15,0.0275
1,16,0.0262
1,17,0.0252
1,18,0.0249
1,19,0.0245
1,20,0.0251
1,21,0.0235
1,22,0.0238
1,23,0.0240
1,24,0.0225
1,25,0.0223
1,26,0.0221
1,27,0.0219
1,28,0.0211
1,29,0.0214
1,30,0.0206
